expression,folder,side,A_distance,C_distance,B_distance,complete
ZZ_Dapper,Male_ZZ_Dapper,left,6.0,18.0,18.0,True
ZZ_Dapper,Male_ZZ_Dapper,right,7.0,18.0,19.0,True
ZZ_Flynn,Male_ZZ_Flynn,left,6.0,21.0,21.0,True
ZZ_Flynn,Male_ZZ_Flynn,right,8.0,17.0,19.0,True
ZZ_Franz Josef,Male_ZZ_Franz Josef,left,6.0,10.0,13.0,True
ZZ_Franz Josef,Male_ZZ_Franz Josef,right,6.0,8.0,11.0,True
ZZ_Friendly Mutton Chops,Male_ZZ_Friendly Mutton Chops,left,6.0,26.0,34.0,True
ZZ_Friendly Mutton Chops,Male_ZZ_Friendly Mutton Chops,right,6.0,22.0,23.0,True
ZZ_Fu Manchu,Male_ZZ_Fu Manchu,left,6.0,15.0,15.0,True
ZZ_Fu Manchu,Male_ZZ_Fu Manchu,right,8.0,13.0,13.0,True
ZZ_Fu Manchu Goatee,Male_ZZ_Fu Manchu Goatee,left,6.0,21.0,22.0,True
ZZ_Fu Manchu Goatee,Male_ZZ_Fu Manchu Goatee,right,7.0,27.0,27.0,True
ZZ_Full Beard,Male_ZZ_Full Beard,left,8.0,13.0,14.0,True
ZZ_Full Beard,Male_ZZ_Full Beard,right,9.0,12.0,14.0,True
ZZ_Goatee,Male_ZZ_Goatee,left,6.0,22.0,22.0,True
ZZ_Goatee,Male_ZZ_Goatee,right,7.0,16.0,18.0,True
ZZ_Grizzly Beard,Male_ZZ_Grizzly Beard,left,8.0,,,True
ZZ_Grizzly Beard,Male_ZZ_Grizzly Beard,right,9.0,,,True
ZZ_Mutton Chops,Male_ZZ_Mutton Chops,left,5.0,12.0,25.0,True
ZZ_Mutton Chops,Male_ZZ_Mutton Chops,right,6.0,14.0,18.0,True
ZZ_Napoleon III,Male_ZZ_Napoleon III,left,6.0,56.0,57.0,True
ZZ_Napoleon III,Male_ZZ_Napoleon III,right,7.0,75.0,75.0,True
ZZ_Officer,Male_ZZ_Officer,left,6.0,20.0,21.0,True
ZZ_Officer,Male_ZZ_Officer,right,7.0,17.0,18.0,True
ZZ_Pioneer,Male_ZZ_Pioneer,left,6.0,20.0,45.0,True
ZZ_Pioneer,Male_ZZ_Pioneer,right,6.0,43.0,43.0,True
ZZ_Stubbled,Male_ZZ_Stubbled,left,5.0,21.0,22.0,True
ZZ_Stubbled,Male_ZZ_Stubbled,right,7.0,69.0,70.0,True
